tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-1982,1982,Brazil,5,4,1,0,15,6,9,0,0.8,3.0,1.2,T-09,BRA,South America,CONMEBOL,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,9,2.3333333333333335,0.6666666666666666,1.7777777777777777,2.2222222222222223,0.4444444444444444,11,52,33,6
WC-1986,1986,Brazil,5,4,1,0,10,1,9,2,0.8,2.0,0.2,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,12,2.0,0.5833333333333334,1.0833333333333333,2.0,0.9166666666666666,12,57,37,6
WC-1990,1990,Brazil,4,3,1,0,4,2,2,1,0.75,1.0,0.5,T-09,BRA,South America,CONMEBOL,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,22,2.0,0.5909090909090909,1.0,1.6363636363636365,0.6363636363636364,13,62,41,6
WC-1994,1994,Brazil,7,6,0,1,11,3,8,4,0.8571428571428571,1.5714285714285714,0.42857142857142855,T-09,BRA,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,21,2.0,0.5714285714285714,1.6666666666666667,2.3333333333333335,0.6666666666666666,14,66,44,6
WC-1998,1998,Brazil,7,5,2,0,14,10,4,4,0.7142857142857143,2.0,1.4285714285714286,T-09,BRA,South America,CONMEBOL,0,2.0,final,5,5,Final,0,1,1,1,26,2.5384615384615383,0.8076923076923077,1.9615384615384615,2.4615384615384617,0.5,15,73,50,6
WC-2002,2002,Brazil,7,7,0,0,18,4,14,4,1.0,2.5714285714285716,0.5714285714285714,T-09,BRA,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,23,1.826086956521739,0.5652173913043478,1.2173913043478262,1.9130434782608696,0.6956521739130435,16,80,55,6
WC-2006,2006,Brazil,5,4,1,0,10,2,8,2,0.8,2.0,0.4,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,12,2.25,0.6666666666666666,2.25,2.9166666666666665,0.6666666666666666,17,87,62,6
WC-2010,2010,Brazil,5,3,1,1,9,4,5,2,0.6,1.8,0.8,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,15,2.6666666666666665,0.8666666666666667,1.6666666666666667,2.4,0.7333333333333333,18,92,66,6
WC-2014,2014,Brazil,7,4,2,1,11,14,-3,4,0.5714285714285714,1.5714285714285714,2.0,T-09,BRA,South America,CONMEBOL,1,4.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,15,2.8,0.9333333333333333,2.533333333333333,2.933333333333333,0.4,19,97,69,6
WC-2018,2018,Brazil,5,3,1,1,8,3,5,2,0.6,1.6,0.6,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,10,2.4,0.7,1.6,1.8,0.2,20,104,73,6
