tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1994,1994,Republic of Ireland,8,1.75,0.5,0.25,1.125,0.875
WC-1994,1994,Romania,11,2.3636363636363638,0.7272727272727273,1.0909090909090908,1.7272727272727273,0.6363636363636364
WC-1994,1994,Russia,9,1.5555555555555556,0.4444444444444444,0.2222222222222222,1.5555555555555556,1.3333333333333333
WC-1994,1994,Saudi Arabia,21,1.5714285714285714,0.42857142857142855,0.23809523809523808,1.5238095238095237,1.2857142857142858
WC-1994,1994,South Korea,17,1.2352941176470589,0.29411764705882354,0.29411764705882354,1.411764705882353,1.1176470588235294
WC-1994,1994,Spain,9,2.2222222222222223,0.6666666666666666,1.1111111111111112,2.0,0.8888888888888888
WC-1994,1994,Sweden,13,1.5384615384615385,0.38461538461538464,0.46153846153846156,1.4615384615384615,1.0
WC-1994,1994,Switzerland,11,1.9090909090909092,0.5454545454545454,1.1818181818181819,1.8181818181818181,0.6363636363636364
WC-1994,1994,United States,34,1.5294117647058822,0.4117647058823529,0.38235294117647056,1.4705882352941178,1.088235294117647
WC-1995,1995,Australia,0,,,,,
WC-1995,1995,Brazil,0,,,,,
WC-1995,1995,Canada,0,,,,,
WC-1995,1995,China,0,,,,,
WC-1995,1995,Denmark,0,,,,,
WC-1995,1995,England,0,,,,,
WC-1995,1995,Germany,0,,,,,
WC-1995,1995,Japan,0,,,,,
WC-1995,1995,Nigeria,0,,,,,
WC-1995,1995,Norway,0,,,,,
WC-1995,1995,Sweden,0,,,,,
WC-1995,1995,United States,0,,,,,
WC-1998,1998,Argentina,17,2.176470588235294,0.6470588235294118,1.1176470588235294,1.6470588235294117,0.5294117647058824
WC-1998,1998,Austria,8,2.25,0.75,1.5,2.375,0.875
WC-1998,1998,Belgium,11,1.7272727272727273,0.45454545454545453,0.36363636363636365,1.3636363636363635,1.0
WC-1998,1998,Brazil,26,2.5384615384615383,0.8076923076923077,1.9615384615384615,2.4615384615384617,0.5
WC-1998,1998,Bulgaria,8,1.625,0.5,0.0,1.125,1.125
WC-1998,1998,Cameroon,22,1.5454545454545454,0.4090909090909091,0.18181818181818182,1.2272727272727273,1.0454545454545454
WC-1998,1998,Chile,20,1.6,0.45,0.6,1.6,1.0
WC-1998,1998,Colombia,18,1.0,0.2222222222222222,-0.2777777777777778,1.1111111111111112,1.3888888888888888
WC-1998,1998,Croatia,9,2.2222222222222223,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0
WC-1998,1998,Denmark,7,1.0,0.2857142857142857,-0.8571428571428571,0.7142857142857143,1.5714285714285714
WC-1998,1998,England,10,1.6,0.4,0.7,1.1,0.4
